"Var1","Freq"
"E02000001",168
"E02000002",20
"E02000003",18
"E02000004",13
"E02000005",10
"E02000007",22
"E02000008",22
"E02000009",14
"E02000010",7
"E02000011",15
"E02000012",14
"E02000013",13
"E02000014",20
"E02000015",19
"E02000016",25
"E02000017",9
"E02000018",17
"E02000019",27
"E02000020",50
"E02000021",27
"E02000022",11
"E02000023",28
"E02000024",50
"E02000025",24
"E02000026",9
"E02000027",16
"E02000028",20
"E02000029",20
"E02000030",46
"E02000031",33
"E02000032",12
"E02000033",24
"E02000034",22
"E02000035",12
"E02000036",19
"E02000037",23
"E02000038",29
"E02000039",35
"E02000040",38
"E02000041",30
"E02000042",27
"E02000043",12
"E02000044",18
"E02000045",25
"E02000046",25
"E02000047",24
"E02000048",19
"E02000049",15
"E02000050",25
"E02000051",30
"E02000052",14
"E02000053",23
"E02000054",18
"E02000055",27
"E02000056",42
"E02000057",16
"E02000058",25
"E02000059",16
"E02000060",18
"E02000061",34
"E02000062",45
"E02000063",16
"E02000064",20
"E02000065",13
"E02000066",32
"E02000067",26
"E02000068",39
"E02000069",23
"E02000070",24
"E02000071",12
"E02000072",32
"E02000073",25
"E02000074",15
"E02000075",18
"E02000077",15
"E02000078",19
"E02000079",30
"E02000080",32
"E02000081",35
"E02000082",22
"E02000083",41
"E02000084",36
"E02000085",21
"E02000086",17
"E02000087",36
"E02000088",24
"E02000089",16
"E02000090",29
"E02000091",27
"E02000092",32
"E02000093",17
"E02000094",20
"E02000095",25
"E02000096",13
"E02000097",10
"E02000098",18
"E02000099",12
"E02000100",18
"E02000101",24
"E02000102",10
"E02000103",29
"E02000104",23
"E02000105",22
"E02000106",29
"E02000107",19
"E02000108",4
"E02000109",24
"E02000110",10
"E02000111",23
"E02000112",25
"E02000113",32
"E02000114",15
"E02000115",16
"E02000116",24
"E02000117",16
"E02000118",10
"E02000119",51
"E02000120",10
"E02000121",18
"E02000122",19
"E02000123",25
"E02000124",26
"E02000125",13
"E02000126",15
"E02000127",18
"E02000128",23
"E02000130",24
"E02000131",33
"E02000132",42
"E02000133",31
"E02000134",50
"E02000135",19
"E02000136",37
"E02000137",37
"E02000138",28
"E02000139",21
"E02000140",26
"E02000141",19
"E02000142",21
"E02000144",57
"E02000145",35
"E02000146",21
"E02000147",33
"E02000148",28
"E02000149",34
"E02000150",30
"E02000151",25
"E02000152",23
"E02000153",24
"E02000154",28
"E02000155",23
"E02000156",30
"E02000157",32
"E02000158",29
"E02000159",47
"E02000160",34
"E02000161",26
"E02000162",46
"E02000163",50
"E02000165",33
"E02000166",27
"E02000167",17
"E02000168",20
"E02000169",6
"E02000170",19
"E02000171",12
"E02000172",9
"E02000173",24
"E02000174",9
"E02000175",19
"E02000176",9
"E02000177",21
"E02000178",11
"E02000179",12
"E02000180",18
"E02000181",8
"E02000182",15
"E02000183",13
"E02000184",24
"E02000185",17
"E02000186",33
"E02000187",19
"E02000188",15
"E02000189",12
"E02000190",5
"E02000191",26
"E02000192",16
"E02000193",55
"E02000194",34
"E02000195",21
"E02000196",15
"E02000197",10
"E02000198",20
"E02000199",7
"E02000200",25
"E02000201",13
"E02000202",9
"E02000203",21
"E02000204",18
"E02000206",19
"E02000207",23
"E02000208",11
"E02000209",19
"E02000210",9
"E02000211",20
"E02000212",19
"E02000213",44
"E02000214",16
"E02000215",24
"E02000216",16
"E02000217",21
"E02000218",21
"E02000219",38
"E02000220",57
"E02000221",39
"E02000222",19
"E02000223",18
"E02000224",16
"E02000225",33
"E02000226",34
"E02000227",50
"E02000228",33
"E02000229",28
"E02000230",37
"E02000231",37
"E02000232",21
"E02000233",14
"E02000234",59
"E02000235",17
"E02000236",29
"E02000237",56
"E02000238",20
"E02000239",13
"E02000240",37
"E02000241",30
"E02000242",9
"E02000243",18
"E02000244",30
"E02000245",9
"E02000246",17
"E02000247",26
"E02000248",27
"E02000249",25
"E02000250",6
"E02000251",9
"E02000252",76
"E02000253",22
"E02000254",28
"E02000255",22
"E02000256",25
"E02000257",38
"E02000258",19
"E02000259",8
"E02000260",28
"E02000261",30
"E02000262",13
"E02000263",6
"E02000264",21
"E02000265",18
"E02000266",44
"E02000267",10
"E02000268",11
"E02000269",10
"E02000270",22
"E02000271",12
"E02000272",8
"E02000274",12
"E02000275",17
"E02000276",10
"E02000277",12
"E02000278",16
"E02000279",21
"E02000280",27
"E02000281",15
"E02000282",21
"E02000283",14
"E02000284",31
"E02000285",13
"E02000286",22
"E02000287",37
"E02000288",35
"E02000289",27
"E02000290",23
"E02000291",20
"E02000292",20
"E02000293",28
"E02000294",15
"E02000295",20
"E02000296",28
"E02000297",20
"E02000298",17
"E02000299",11
"E02000300",12
"E02000301",16
"E02000302",5
"E02000303",18
"E02000304",21
"E02000305",16
"E02000306",23
"E02000307",12
"E02000308",32
"E02000309",19
"E02000311",30
"E02000312",26
"E02000313",7
"E02000314",50
"E02000315",26
"E02000316",42
"E02000317",15
"E02000318",17
"E02000319",27
"E02000320",23
"E02000321",9
"E02000323",19
"E02000324",14
"E02000326",16
"E02000327",31
"E02000328",16
"E02000329",17
"E02000331",21
"E02000332",20
"E02000333",24
"E02000334",20
"E02000335",15
"E02000337",25
"E02000339",23
"E02000340",40
"E02000341",30
"E02000342",13
"E02000343",11
"E02000344",22
"E02000345",16
"E02000346",21
"E02000347",6
"E02000348",9
"E02000350",9
"E02000351",11
"E02000352",11
"E02000353",14
"E02000354",22
"E02000355",17
"E02000356",10
"E02000357",18
"E02000358",13
"E02000359",12
"E02000360",20
"E02000361",36
"E02000362",37
"E02000363",19
"E02000364",17
"E02000365",33
"E02000366",19
"E02000367",24
"E02000368",18
"E02000369",11
"E02000370",16
"E02000371",47
"E02000372",40
"E02000373",7
"E02000374",10
"E02000375",22
"E02000376",12
"E02000377",13
"E02000378",5
"E02000379",12
"E02000380",4
"E02000381",3
"E02000382",16
"E02000383",16
"E02000384",35
"E02000385",4
"E02000386",10
"E02000387",7
"E02000388",10
"E02000389",9
"E02000390",5
"E02000391",22
"E02000392",12
"E02000393",7
"E02000394",19
"E02000395",18
"E02000396",15
"E02000397",4
"E02000398",13
"E02000400",16
"E02000401",14
"E02000402",18
"E02000403",22
"E02000404",14
"E02000405",17
"E02000406",6
"E02000407",18
"E02000408",21
"E02000409",8
"E02000410",15
"E02000411",45
"E02000412",20
"E02000413",10
"E02000414",6
"E02000415",19
"E02000416",8
"E02000417",21
"E02000418",7
"E02000419",14
"E02000420",17
"E02000421",23
"E02000422",13
"E02000423",13
"E02000424",12
"E02000425",12
"E02000426",30
"E02000427",14
"E02000428",13
"E02000429",12
"E02000430",17
"E02000431",14
"E02000432",5
"E02000433",42
"E02000434",13
"E02000435",8
"E02000436",12
"E02000437",18
"E02000438",23
"E02000439",11
"E02000440",21
"E02000441",20
"E02000442",17
"E02000443",7
"E02000444",12
"E02000445",20
"E02000447",19
"E02000448",14
"E02000449",7
"E02000451",14
"E02000452",11
"E02000453",14
"E02000454",17
"E02000455",32
"E02000456",11
"E02000457",8
"E02000459",16
"E02000460",14
"E02000461",21
"E02000462",10
"E02000463",4
"E02000464",30
"E02000465",43
"E02000466",37
"E02000467",30
"E02000468",23
"E02000469",20
"E02000470",44
"E02000471",12
"E02000472",17
"E02000473",21
"E02000474",25
"E02000475",25
"E02000476",39
"E02000477",26
"E02000478",17
"E02000479",23
"E02000480",32
"E02000481",36
"E02000482",33
"E02000483",25
"E02000484",10
"E02000485",27
"E02000486",10
"E02000487",24
"E02000488",16
"E02000489",19
"E02000490",16
"E02000491",41
"E02000492",22
"E02000493",22
"E02000494",28
"E02000495",40
"E02000496",39
"E02000497",27
"E02000498",27
"E02000499",15
"E02000500",27
"E02000501",13
"E02000502",14
"E02000503",10
"E02000504",20
"E02000506",37
"E02000507",12
"E02000508",45
"E02000509",28
"E02000510",29
"E02000511",23
"E02000512",19
"E02000513",19
"E02000514",12
"E02000515",26
"E02000516",9
"E02000517",24
"E02000518",31
"E02000519",23
"E02000520",40
"E02000521",26
"E02000522",21
"E02000523",35
"E02000524",155
"E02000525",31
"E02000526",20
"E02000528",36
"E02000529",8
"E02000530",30
"E02000531",37
"E02000532",20
"E02000533",6
"E02000534",35
"E02000535",24
"E02000536",31
"E02000537",17
"E02000538",22
"E02000539",38
"E02000540",26
"E02000541",19
"E02000542",24
"E02000543",33
"E02000544",18
"E02000545",21
"E02000546",18
"E02000547",31
"E02000548",37
"E02000549",40
"E02000550",10
"E02000551",31
"E02000552",22
"E02000553",27
"E02000554",18
"E02000555",15
"E02000556",12
"E02000557",35
"E02000558",12
"E02000559",7
"E02000560",8
"E02000561",8
"E02000562",15
"E02000563",15
"E02000564",18
"E02000565",16
"E02000566",11
"E02000567",22
"E02000568",20
"E02000569",19
"E02000570",9
"E02000571",15
"E02000572",16
"E02000573",24
"E02000574",26
"E02000575",40
"E02000576",32
"E02000577",18
"E02000578",11
"E02000579",12
"E02000580",10
"E02000581",5
"E02000582",15
"E02000583",12
"E02000584",15
"E02000585",15
"E02000586",15
"E02000587",12
"E02000588",15
"E02000589",5
"E02000590",20
"E02000591",8
"E02000592",20
"E02000593",11
"E02000594",20
"E02000595",22
"E02000596",10
"E02000597",13
"E02000598",26
"E02000599",36
"E02000600",21
"E02000601",13
"E02000602",23
"E02000603",18
"E02000604",17
"E02000605",16
"E02000606",79
"E02000607",15
"E02000608",24
"E02000609",31
"E02000610",17
"E02000611",21
"E02000612",18
"E02000613",16
"E02000614",27
"E02000615",16
"E02000616",11
"E02000617",44
"E02000619",13
"E02000620",23
"E02000621",26
"E02000622",24
"E02000623",8
"E02000624",11
"E02000625",16
"E02000626",12
"E02000627",11
"E02000628",25
"E02000629",12
"E02000630",26
"E02000631",23
"E02000632",7
"E02000633",26
"E02000634",16
"E02000635",26
"E02000636",11
"E02000637",7
"E02000638",10
"E02000639",16
"E02000640",16
"E02000641",12
"E02000642",23
"E02000643",15
"E02000644",16
"E02000645",29
"E02000646",16
"E02000647",20
"E02000648",21
"E02000649",27
"E02000650",11
"E02000651",16
"E02000652",5
"E02000653",17
"E02000654",12
"E02000655",10
"E02000657",21
"E02000658",12
"E02000659",14
"E02000660",15
"E02000661",21
"E02000662",18
"E02000663",16
"E02000664",55
"E02000665",19
"E02000666",24
"E02000667",14
"E02000668",15
"E02000669",14
"E02000670",8
"E02000671",19
"E02000672",39
"E02000673",20
"E02000674",19
"E02000675",34
"E02000676",8
"E02000677",11
"E02000678",9
"E02000679",16
"E02000680",23
"E02000681",13
"E02000682",21
"E02000683",20
"E02000685",20
"E02000686",21
"E02000687",16
"E02000689",12
"E02000690",31
"E02000691",22
"E02000692",18
"E02000693",14
"E02000694",12
"E02000695",4
"E02000696",11
"E02000697",27
"E02000698",24
"E02000699",12
"E02000700",7
"E02000701",21
"E02000702",29
"E02000703",13
"E02000704",29
"E02000705",17
"E02000706",22
"E02000707",21
"E02000708",19
"E02000709",21
"E02000710",46
"E02000711",30
"E02000712",22
"E02000713",19
"E02000714",9
"E02000715",8
"E02000716",12
"E02000717",13
"E02000718",3
"E02000719",9
"E02000720",6
"E02000721",18
"E02000722",9
"E02000723",18
"E02000724",4
"E02000725",21
"E02000726",58
"E02000727",14
"E02000729",11
"E02000730",11
"E02000731",16
"E02000732",3
"E02000733",12
"E02000734",9
"E02000735",8
"E02000736",24
"E02000737",12
"E02000738",6
"E02000739",16
"E02000740",19
"E02000741",19
"E02000742",14
"E02000743",21
"E02000744",10
"E02000745",8
"E02000746",45
"E02000747",47
"E02000748",28
"E02000749",21
"E02000750",43
"E02000751",33
"E02000752",33
"E02000753",19
"E02000754",17
"E02000755",12
"E02000756",34
"E02000757",20
"E02000758",9
"E02000759",35
"E02000760",23
"E02000762",13
"E02000763",22
"E02000764",32
"E02000765",12
"E02000767",16
"E02000768",12
"E02000769",18
"E02000770",12
"E02000772",24
"E02000773",17
"E02000774",10
"E02000776",9
"E02000777",22
"E02000779",9
"E02000780",27
"E02000781",26
"E02000782",11
"E02000783",8
"E02000784",38
"E02000785",30
"E02000786",28
"E02000787",30
"E02000788",14
"E02000789",18
"E02000790",10
"E02000791",32
"E02000792",13
"E02000793",22
"E02000794",33
"E02000795",28
"E02000796",31
"E02000797",25
"E02000798",32
"E02000799",24
"E02000800",10
"E02000801",19
"E02000802",19
"E02000803",36
"E02000804",22
"E02000805",22
"E02000806",46
"E02000807",19
"E02000808",47
"E02000809",37
"E02000810",16
"E02000812",26
"E02000813",30
"E02000814",21
"E02000815",14
"E02000816",18
"E02000817",13
"E02000818",23
"E02000819",11
"E02000820",10
"E02000821",12
"E02000822",3
"E02000823",17
"E02000824",18
"E02000825",6
"E02000826",6
"E02000827",26
"E02000828",21
"E02000829",14
"E02000830",10
"E02000831",16
"E02000832",21
"E02000833",15
"E02000834",26
"E02000835",23
"E02000836",16
"E02000837",39
"E02000838",31
"E02000839",43
"E02000840",17
"E02000841",21
"E02000842",23
"E02000843",16
"E02000844",17
"E02000845",9
"E02000846",20
"E02000847",19
"E02000848",24
"E02000849",16
"E02000850",36
"E02000851",27
"E02000852",15
"E02000853",20
"E02000854",23
"E02000855",24
"E02000856",21
"E02000857",22
"E02000858",22
"E02000859",27
"E02000860",18
"E02000861",39
"E02000863",23
"E02000864",25
"E02000865",8
"E02000866",23
"E02000867",17
"E02000868",8
"E02000869",3
"E02000870",6
"E02000871",19
"E02000872",6
"E02000873",11
"E02000874",11
"E02000875",11
"E02000876",10
"E02000877",26
"E02000878",18
"E02000879",9
"E02000880",8
"E02000881",23
"E02000882",9
"E02000883",18
"E02000884",11
"E02000885",10
"E02000886",10
"E02000887",10
"E02000888",15
"E02000889",15
"E02000890",20
"E02000891",50
"E02000893",17
"E02000894",11
"E02000895",42
"E02000896",37
"E02000897",20
"E02000898",24
"E02000899",21
"E02000900",23
"E02000901",18
"E02000902",15
"E02000903",26
"E02000904",24
"E02000905",12
"E02000906",14
"E02000907",25
"E02000908",23
"E02000909",25
"E02000910",16
"E02000911",37
"E02000912",12
"E02000913",24
"E02000914",18
"E02000915",21
"E02000916",22
"E02000917",9
"E02000918",20
"E02000919",12
"E02000920",24
"E02000921",15
"E02000922",14
"E02000923",13
"E02000924",35
"E02000925",9
"E02000926",16
"E02000927",13
"E02000928",11
"E02000929",12
"E02000930",21
"E02000931",6
"E02000932",36
"E02000933",14
"E02000934",27
"E02000935",10
"E02000936",21
"E02000937",20
"E02000938",25
"E02000939",12
"E02000940",20
"E02000941",17
"E02000942",14
"E02000943",13
"E02000944",14
"E02000945",28
"E02000946",16
"E02000947",8
"E02000948",8
"E02000949",16
"E02000950",18
"E02000951",10
"E02000952",7
"E02000953",11
"E02000954",3
"E02000955",3
"E02000956",26
"E02000957",17
"E02000958",11
"E02000959",10
"E02000960",10
"E02000961",12
"E02000962",19
"E02000963",7
"E02000964",22
"E02000965",4
"E02000966",14
"E02000967",27
"E02000968",14
"E02000969",13
"E02000970",26
"E02000971",24
"E02000972",54
"E02000973",8
"E02000974",18
"E02000975",25
"E02000976",18
"E02000977",89
"E02000978",54
"E02000979",63
"E02000980",16
"E02000981",7
"E02000982",60
"E02000983",14
"E02000984",38
"E02000985",32
"E02000986",30
"E02000987",40
"E02000988",41
"E02000989",59
"E02000990",43
"E02000991",32
"E02000992",41
"E02000993",30
"E02000994",18
"E02000995",67
"E02000996",40
"E02000997",54
"E02000998",24
"E02000999",88
"E02001000",46
"E02001001",36
"E02001002",47
"E02001003",46
"E02001004",23
"E02001005",59
"E02001006",22
"E02001007",24
"E02001008",25
"E02001009",45
"E02001010",29
"E02001011",51
"E02001012",50
"E02001013",44
"E02001014",49
"E02001015",41
"E02001016",42
"E02001017",46
"E02001018",33
"E02001019",55
"E02001020",44
"E02001021",64
"E02001022",39
"E02001023",24
"E02001024",29
"E02001025",43
"E02001026",55
"E02001027",43
"E02001028",30
"E02001029",43
"E02001030",59
"E02001031",31
"E02001032",23
"E02001033",31
"E02001034",42
"E02001035",33
"E02001036",36
"E02001037",37
"E02001038",36
"E02001039",20
"E02001040",30
"E02001041",31
"E02001042",27
"E02001043",24
"E02001044",11
"E02001045",31
"E02001046",47
"E02001047",58
"E02001048",38
"E02001049",39
"E02001050",33
"E02001051",21
"E02001052",54
"E02001053",74
"E02001055",65
"E02001056",31
"E02001057",51
"E02001059",68
"E02001061",43
"E02001062",70
"E02001063",55
"E02001064",61
"E02001065",26
"E02001066",25
"E02001067",36
"E02001068",28
"E02001069",24
"E02001070",26
"E02001071",33
"E02001072",16
"E02001073",28
"E02001074",44
"E02001075",22
"E02001076",37
"E02001077",21
"E02001078",32
"E02001079",31
"E02001080",16
"E02001081",13
"E02001082",21
"E02001083",33
"E02001084",17
"E02001085",29
"E02001086",24
"E02001087",32
"E02001088",27
"E02001089",47
"E02001090",29
"E02001091",29
"E02001092",52
"E02001093",33
"E02001094",40
"E02001095",53
"E02001096",45
"E02001097",60
"E02001098",25
"E02001099",35
"E02001100",31
"E02001101",16
"E02001102",28
"E02001103",85
"E02001104",30
"E02001105",22
"E02001106",30
"E02001107",24
"E02001108",33
"E02001109",27
"E02001110",63
"E02001111",88
"E02001112",46
"E02001113",42
"E02001114",30
"E02001115",23
"E02001116",28
"E02001117",29
"E02001118",31
"E02001119",33
"E02001121",44
"E02001123",27
"E02001124",26
"E02001125",51
"E02001126",38
"E02001127",29
"E02001128",35
"E02001129",36
"E02001130",20
"E02001131",18
"E02001132",59
"E02001133",37
"E02001134",51
"E02001135",30
"E02001136",53
"E02001137",50
"E02001138",28
"E02001139",32
"E02001140",53
"E02001141",80
"E02001142",26
"E02001143",45
"E02001144",21
"E02001145",32
"E02001146",40
"E02001147",80
"E02001148",53
"E02001149",52
"E02001150",55
"E02001151",34
"E02001152",63
"E02001153",49
"E02001154",48
"E02001155",70
"E02001156",44
"E02001157",47
"E02001158",32
"E02001159",17
"E02001160",29
"E02001161",25
"E02001162",22
"E02001163",51
"E02001164",37
"E02001165",23
"E02001166",19
"E02001167",20
"E02001168",46
"E02001169",44
"E02001170",51
"E02001171",23
"E02001172",44
"E02001173",67
"E02001174",13
"E02001175",16
"E02001176",40
"E02001177",69
"E02001178",70
"E02001179",19
"E02001180",25
"E02001181",28
"E02001182",26
"E02001183",35
"E02001184",79
"E02001185",35
"E02001186",32
"E02001187",23
"E02001188",27
"E02001189",30
"E02001190",16
"E02001191",16
"E02001192",30
"E02001193",49
"E02001194",18
"E02001195",53
"E02001196",26
"E02001197",12
"E02001198",24
"E02001199",23
"E02001200",89
"E02001201",33
"E02001202",28
"E02001203",42
"E02001204",27
"E02001205",32
"E02001206",23
"E02001207",37
"E02001208",27
"E02001209",26
"E02001210",23
"E02001211",22
"E02001212",27
"E02001213",41
"E02001214",24
"E02001215",52
"E02001216",24
"E02001217",33
"E02001218",18
"E02001219",50
"E02001220",14
"E02001221",29
"E02001222",16
"E02001223",41
"E02001224",29
"E02001225",29
"E02001226",24
"E02001227",18
"E02001228",37
"E02001229",94
"E02001230",35
"E02001231",36
"E02001232",40
"E02001233",45
"E02001234",45
"E02001235",30
"E02001236",39
"E02001237",28
"E02001238",34
"E02001239",37
"E02001240",32
"E02001241",64
"E02001242",25
"E02001243",47
"E02001244",25
"E02001245",53
"E02001246",55
"E02001247",37
"E02001248",49
"E02001249",35
"E02001250",34
"E02001251",45
"E02001252",20
"E02001253",21
"E02001254",16
"E02001255",72
"E02001256",56
"E02001257",50
"E02001258",36
"E02001259",34
"E02001260",89
"E02001261",33
"E02001262",34
"E02001263",39
"E02001264",78
"E02001265",29
"E02001266",24
"E02001267",27
"E02001268",17
"E02001269",40
"E02001270",29
"E02001271",19
"E02001272",30
"E02001273",43
"E02001274",18
"E02001275",45
"E02001276",15
"E02001277",27
"E02001278",20
"E02001279",19
"E02001280",33
"E02001281",24
"E02001282",32
"E02001283",71
"E02001284",31
"E02001285",26
"E02001286",54
"E02001287",43
"E02001288",32
"E02001289",57
"E02001290",53
"E02001291",33
"E02001292",49
"E02001293",47
"E02001294",59
"E02001295",28
"E02001296",40
"E02001297",39
"E02001298",54
"E02001299",51
"E02001300",45
"E02001301",65
"E02001302",36
"E02001303",58
"E02001304",63
"E02001305",42
"E02001306",25
"E02001307",37
"E02001308",21
"E02001309",46
"E02001310",54
"E02001311",39
"E02001312",51
"E02001313",38
"E02001314",25
"E02001315",53
"E02001316",37
"E02001317",43
"E02001318",34
"E02001319",34
"E02001320",31
"E02001321",31
"E02001322",34
"E02001323",28
"E02001324",38
"E02001325",39
"E02001326",28
"E02001327",33
"E02001328",18
"E02001329",43
"E02001330",27
"E02001331",96
"E02001332",22
"E02001333",70
"E02001334",22
"E02001335",34
"E02001336",26
"E02001337",32
"E02001338",16
"E02001339",25
"E02001340",14
"E02001341",57
"E02001342",27
"E02001343",57
"E02001344",12
"E02001345",23
"E02001346",28
"E02001347",26
"E02001348",24
"E02001349",17
"E02001350",42
"E02001351",29
"E02001352",17
"E02001353",22
"E02001354",32
"E02001355",24
"E02001356",15
"E02001357",22
"E02001358",10
"E02001359",14
"E02001360",55
"E02001361",18
"E02001362",22
"E02001363",24
"E02001364",18
"E02001365",18
"E02001366",17
"E02001367",35
"E02001368",73
"E02001369",45
"E02001370",20
"E02001371",15
"E02001372",36
"E02001373",33
"E02001374",26
"E02001375",21
"E02001376",15
"E02001377",63
"E02001378",26
"E02001380",28
"E02001381",19
"E02001382",23
"E02001383",39
"E02001384",19
"E02001385",25
"E02001386",39
"E02001387",36
"E02001388",25
"E02001389",27
"E02001390",48
"E02001391",26
"E02001392",23
"E02001393",32
"E02001394",38
"E02001395",25
"E02001396",32
"E02001397",30
"E02001398",28
"E02001399",10
"E02001400",26
"E02001401",42
"E02001402",15
"E02001403",25
"E02001404",81
"E02001405",44
"E02001406",86
"E02001407",26
"E02001408",45
"E02001409",71
"E02001410",32
"E02001411",13
"E02001412",55
"E02001413",34
"E02001414",29
"E02001415",36
"E02001416",16
"E02001417",52
"E02001418",34
"E02001419",78
"E02001420",62
"E02001421",44
"E02001422",34
"E02001423",49
"E02001424",80
"E02001425",48
"E02001426",10
"E02001427",97
"E02001428",24
"E02001429",29
"E02001430",48
"E02001431",41
"E02001432",68
"E02001433",17
"E02001434",38
"E02001435",39
"E02001436",61
"E02001437",61
"E02001438",35
"E02001439",40
"E02001440",32
"E02001441",25
"E02001442",40
"E02001443",19
"E02001444",27
"E02001445",33
"E02001446",34
"E02001447",33
"E02001448",31
"E02001449",33
"E02001450",26
"E02001451",17
"E02001452",21
"E02001453",29
"E02001454",38
"E02001455",36
"E02001456",15
"E02001457",32
"E02001458",17
"E02001459",25
"E02001460",22
"E02001461",32
"E02001462",26
"E02001463",37
"E02001464",19
"E02001465",54
"E02001466",46
"E02001467",49
"E02001468",42
"E02001469",40
"E02001470",33
"E02001471",23
"E02001472",42
"E02001473",46
"E02001474",30
"E02001475",20
"E02001476",33
"E02001477",35
"E02001478",36
"E02001479",23
"E02001480",17
"E02001481",36
"E02001482",84
"E02001483",24
"E02001484",32
"E02001485",26
"E02001486",40
"E02001487",30
"E02001488",38
"E02001489",43
"E02001490",24
"E02001491",43
"E02001492",42
"E02001493",26
"E02001494",33
"E02001495",42
"E02001496",21
"E02001497",31
"E02001498",39
"E02001499",35
"E02001500",47
"E02001501",26
"E02001502",48
"E02001503",40
"E02001504",50
"E02001505",44
"E02001506",49
"E02001507",33
"E02001508",69
"E02001509",23
"E02001510",45
"E02001511",36
"E02001512",54
"E02001513",54
"E02001514",60
"E02001515",66
"E02001516",22
"E02001517",43
"E02001518",52
"E02001519",35
"E02001520",69
"E02001521",59
"E02001522",62
"E02001523",48
"E02001524",55
"E02001525",36
"E02001526",47
"E02001527",44
"E02001528",85
"E02001529",70
"E02001530",43
"E02001531",42
"E02001532",61
"E02001533",45
"E02001534",33
"E02001535",125
"E02001536",76
"E02001537",57
"E02001538",40
"E02001539",31
"E02001540",99
"E02001541",47
"E02001542",73
"E02001543",57
"E02001544",35
"E02001545",45
"E02001546",73
"E02001547",70
"E02001548",51
"E02001549",37
"E02001550",47
"E02001551",34
"E02001552",33
"E02001553",76
"E02001554",39
"E02001555",29
"E02001556",39
"E02001557",57
"E02001558",89
"E02001559",36
"E02001560",83
"E02001561",38
"E02001562",33
"E02001563",46
"E02001564",57
"E02001565",44
"E02001566",57
"E02001567",48
"E02001568",26
"E02001569",45
"E02001570",74
"E02001571",58
"E02001572",49
"E02001573",50
"E02001574",33
"E02001575",49
"E02001576",53
"E02001577",76
"E02001578",71
"E02001579",75
"E02001580",48
"E02001581",31
"E02001582",35
"E02001583",36
"E02001584",66
"E02001585",37
"E02001586",85
"E02001587",52
"E02001588",29
"E02001589",48
"E02001590",42
"E02001591",33
"E02001592",66
"E02001593",61
"E02001594",73
"E02001595",49
"E02001596",42
"E02001597",62
"E02001598",50
"E02001599",34
"E02001600",44
"E02001601",41
"E02001602",56
"E02001603",49
"E02001604",76
"E02001605",74
"E02001606",47
"E02001607",57
"E02001608",49
"E02001609",69
"E02001610",63
"E02001611",63
"E02001612",62
"E02001613",54
"E02001614",95
"E02001615",73
"E02001616",46
"E02001617",32
"E02001618",62
"E02001619",69
"E02001620",40
"E02001621",39
"E02001622",49
"E02001623",46
"E02001624",73
"E02001625",38
"E02001626",20
"E02001627",42
"E02001628",93
"E02001629",54
"E02001630",47
"E02001631",25
"E02001632",154
"E02001633",87
"E02001634",40
"E02001635",56
"E02001636",81
"E02001637",65
"E02001638",17
"E02001639",10
"E02001640",41
"E02001642",53
"E02001643",37
"E02001646",29
"E02001647",27
"E02001648",28
"E02001649",75
"E02001650",23
"E02001651",43
"E02001652",65
"E02001653",46
"E02001654",36
"E02001655",46
"E02001656",27
"E02001657",49
"E02001658",44
"E02001659",41
"E02001660",39
"E02001661",41
"E02001662",37
"E02001663",42
"E02001664",29
"E02001665",82
"E02001666",34
"E02001669",24
"E02001670",44
"E02001671",24
"E02001672",31
"E02001673",42
"E02001674",65
"E02001675",58
"E02001676",34
"E02001678",59
"E02001679",36
"E02001680",28
"E02001681",27
"E02001682",73
"E02001683",76
"E02001684",71
"E02001685",51
"E02001686",67
"E02001688",103
"E02001689",35
"E02001690",59
"E02001691",36
"E02001692",26
"E02001693",27
"E02001694",36
"E02001695",33
"E02001696",54
"E02001697",42
"E02001698",46
"E02001699",50
"E02001700",94
"E02001701",41
"E02001702",41
"E02001703",51
"E02001704",34
"E02001705",64
"E02001706",76
"E02001707",95
"E02001708",62
"E02001709",33
"E02001710",44
"E02001711",59
"E02001712",38
"E02001713",41
"E02001714",52
"E02001715",68
"E02001718",28
"E02001719",41
"E02001720",18
"E02001721",77
"E02001722",23
"E02001723",21
"E02001724",19
"E02001725",37
"E02001726",55
"E02001727",56
"E02001728",53
"E02001729",47
"E02001730",70
"E02001731",189
"E02001732",44
"E02001733",93
"E02001734",52
"E02001735",29
"E02001736",57
"E02001737",31
"E02001738",23
"E02001739",46
"E02001740",21
"E02001741",41
"E02001742",19
"E02001743",34
"E02001744",44
"E02001745",33
"E02001746",32
"E02001747",27
"E02001748",39
"E02001749",27
"E02001750",39
"E02001751",24
"E02001752",62
"E02001753",44
"E02001754",20
"E02001755",58
"E02001756",68
