"","MSOA","X","yj_Bus_stops","yj_Train_stations","yj_metro_stations","yj_HH_owning_cars_perc","yj_work_from_home_perc","yj_underground_metro_perc","yj_train_perc","yj_bus_perc","yj_taxi_perc","yj_motorcycle_perc","yj_bicycle_perc","yj_on_foot_perc","yj_other_perc","yj_avg_time_from_origin_car_UNWEIGHTED","yj_avg_time_car","yj_avg_time_from_origin_bus_UNWEIGHTED","yj_avg_time_bus","yj_avg_time_from_origin_rail_UNWEIGHTED","yj_avg_time_rail","yj_car_perc","yj_idr_Kmeans_cluster","yj_DB_cluster","log_zscore_DB_cluster","log_zscore_kmeans_cluster","log_zscore_H_cluster","log_range_DB_cluster","log_range_H_cluster","log_range_kmeans_cluster","log_idr_DB_cluster","log_idr_kmeans_cluster.x","log_idr_H_cluster.x","yj_idr_DB_cluster.x","log_idr_kmeans_cluster.y","log_idr_H_cluster.y","yj_idr_DB_cluster.y","yj_idr_H_cluster","yj_H_cluster","yj_Kmeans_cluster","yj_Zscore_DB_cluster","yj_Zscore_H_cluster","yj_zscore_Kmeans_cluster"
"1","E02000001",0,4.20421556489554,0.22788491384179,0.0676503342272815,-24.2730882173883,1.96394610762211,0.514207768278203,3.53559535387407,0.156850668952037,5.64261230969322,-1.11117127610333,2.43004257773083,4.45444469088503,1.51712983340267,0,1.65263923395887,0,-1.34386322567796,0,-3.98899411286491,-204.188300852536,0,-1,-1,3,0,-1,1,0,-1,0,1,0,0,1,0,0,2,3,-1,1,2
"2","E02000002",1,-1.13553796797292,0,0,-12.1712021682713,-1.61735101791786,0.512418341328161,5.0855694568769,5.55955764904432,5.02809832518028,0.684961622858488,-0.925033266040174,-1.70693244978727,0.237798754147375,0,-0.475142336490713,0,0.383488898790811,0,-1.82346167639832,-114.929406563514,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"3","E02000003",2,-1.33070836687978,0,0,-7.80933007684142,-1.22782728155029,0.509502235048097,7.84150554197113,3.7297471471874,1.98297961282874,-0.0569157466228898,-1.98517495389884,-0.931419542716847,0.133653940563974,0,-0.80894272671799,0,0.411106042050072,0,-1.83119749199625,-138.405143300313,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"4","E02000004",3,-1.8980850596773,0,0,-1.95811069617196,-1.64480652486914,0.505066890701793,6.789664392185,3.37977399039498,3.90671728079001,1.27343760269331,-0.922841377922608,-0.498251462159707,0.0926091302347354,0,-0.583072769855234,0,-0.241679070987547,0,-2.13314186120641,-101.704784591724,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"5","E02000005",4,-2.31769560763146,0,0,-9.76564025902462,-1.71384663962535,0.509007289615258,6.44228612687937,5.68801119577684,2.5134047983827,0.788661418511333,-0.454002619547094,-1.14252125501313,-2.16147588601011,0,-1.07004234432101,0,0.132104007363547,0,-2.00172950290525,-122.449438106636,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"6","E02000007",5,-0.954026779416124,0,0,-15.5366013427176,-2.5399736334412,0.514491095984034,5.15237224451453,5.86567143810968,2.31577819683037,0.92858874059609,-0.757806399752937,-0.868081073595427,-1.14392951401061,0,-1.74257647399246,0,-0.33583268325418,0,-2.0560520058481,-133.980619044529,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"7","E02000008",6,-0.954026779416124,0,0,-12.8385503655049,-2.47011375525744,0.513297764567279,5.93390448181175,5.39393978667473,-1.14575171294367,1.306151514335,-0.777980963524774,-1.27992818012452,-0.534468990327415,0,-1.2811292768918,0,-0.083314790970096,0,-2.28398103723266,-126.100180757946,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"8","E02000009",7,-1.77350927050727,0,0,-11.8663023498659,-1.59293935698795,0.513691606855758,6.08530756667211,5.95185743203655,0.37389793970762,1.76504429691344,-0.381746378646207,-2.50649997566042,-0.397640688203897,0,-0.309410954033067,0,0.00964543402234195,0,-2.31615204351198,-136.463086419259,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"9","E02000010",8,-2.83589100189971,0,0,-12.9759001787403,-2.8989444088182,0.516487342550618,5.47251190438621,4.44960383895132,2.11077234314563,0.122106514621883,-1.4752433333827,-0.742159449103392,0.295799752186384,0,-1.26018227327177,0,0.286745149984982,0,-2.09590488500832,-142.758343505833,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"10","E02000011",9,-1.65509614518216,0,0.0676479327594715,-6.27989431872353,-1.24856940147241,0.516931157767021,5.86188233811589,2.91373679973555,4.06971412577663,-0.055941673234155,-0.45968393318273,-1.16268324190689,-0.24607563652915,0,-0.213555237723335,0,-0.48817550326999,0,-2.08386109571062,-148.381231518247,0,1,0,3,2,0,1,0,0,0,1,0,0,1,0,0,2,3,1,1,2
"11","E02000012",10,-1.77350927050727,0,0.0676479327594715,-4.36182949114551,-0.86658637555439,0.516608779049504,6.49296705104076,2.25105785411723,5.44687459092526,-1.19025911452017,-1.20343220569103,-1.36119728583282,-0.871036806784597,0,-0.766124999836486,0,-0.36567466108107,0,-2.68524829684593,-146.782948928289,0,1,0,3,2,0,1,0,0,0,1,0,0,1,0,0,2,3,1,1,2
"12","E02000013",11,-1.8980850596773,0,0.0676479327594715,-11.8113747715787,-2.34433961645485,0.516417128048885,5.42463777603544,3.46701767733719,-0.836451050224867,1.10913730313877,-0.536060126877581,-1.64062143469889,0.760696225047315,0,-1.20521048450713,0,0.591553430028854,0,-2.49437998080462,-132.210357503701,0,1,0,3,2,0,1,0,0,0,1,0,0,1,0,0,2,3,1,1,2
"13","E02000014",12,-1.13553796797292,0,0.0676479327594715,-13.7265854758648,-2.0603241727785,0.515998701700117,5.81452765028918,4.57323914892581,1.49808551345441,1.03960552580838,-1.11193801638051,-0.334077933904521,-1.20835070428246,0,-0.653228408096344,0,0.581704710820504,0,-2.28384099231871,-148.021130071863,0,1,0,3,2,0,1,0,0,0,1,0,0,1,0,0,2,3,1,1,2
"14","E02000015",13,-1.23126761486626,0,0,-17.9143309937806,-2.49260194860788,0.515739791549439,5.7888172968519,5.10697874487215,1.03628534100741,0.614847063221155,1.03686826486198,-0.907762332075634,0.955485469303885,0,-0.590520803992263,0,0.399829073671921,0,-1.83058343716347,-150.110450446973,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,2
"15","E02000016",14,-0.703056832616938,0.217014038328239,0.0676479327594715,-23.1525363832031,-2.17465922857225,0.518560250580651,7.36162718688926,4.47779426912304,0.331517551417855,-1.83305832213353,-2.04355998745635,-0.688861603739443,-0.0414053182797576,0,-0.473729655164608,0,0.19449006688346,0,-2.78344286405016,-192.888880110349,0,3,0,3,2,0,1,0,0,0,1,0,0,1,0,0,2,3,1,1,2
