"","MSOA","Bus_stops","Train_stations","metro_stations","HH_owning_cars_perc","work_from_home_perc","underground_metro_perc","train_perc","bus_perc","taxi_perc","motorcycle_perc","bicycle_perc","on_foot_perc","other_perc","avg_time_from_origin_car_UNWEIGHTED","avg_time_car","avg_time_from_origin_bus_UNWEIGHTED","avg_time_bus","avg_time_from_origin_rail_UNWEIGHTED","avg_time_rail","car_perc","yj_idr_Kmeans_cluster","yj_DB_cluster","log_zscore_DB_cluster","log_zscore_kmeans_cluster","log_zscore_H_cluster","log_range_DB_cluster","log_range_H_cluster","log_range_kmeans_cluster","log_idr_DB_cluster","log_idr_kmeans_cluster","log_idr_H_cluster","yj_idr_DB_cluster","yj_idr_H_cluster","yj_H_cluster","yj_Kmeans_cluster","yj_Zscore_DB_cluster","yj_Zscore_H_cluster","yj_zscore_Kmeans_cluster"
"1","E02000001",168,8,12,30.6043329532497,14.649947753396,18.3908045977011,5.43364681295716,5.53814002089864,0.898641588296761,0.459770114942529,5.07836990595611,45.6426332288401,0.856844305120167,107.138220992987,17.4381869486726,230.859581198486,18.7759113928571,106.993595970379,13.2363890942211,3.05120167189133,0,-1,-1,3,0,-1,1,0,-1,0,1,0,0,2,3,-1,1,2
"2","E02000002",20,NA,NA,62.403243641725,6.40096618357488,15.6602254428341,8.21256038647343,14.7342995169082,0.805152979066022,0.885668276972625,1.32850241545894,4.66988727858293,0.483091787439614,113.749867652745,10.1301047126171,274.805136741022,30.2711900866667,123.991275651779,27.7594978559501,46.8196457326892,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"3","E02000003",18,NA,NA,68.8054251434533,6.89579202467504,12.7781449658515,19.8501872659176,10.6190790923111,0.484688257325402,0.682969817140339,0.881251376955276,5.90438422560035,0.46265697290152,113.586927847257,9.48266022568069,274.225430570046,30.5275897914027,122.518744419386,27.6959997704453,41.4408460013219,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"4","E02000004",13,NA,NA,76.0138050043141,6.36808957312806,10.146955913226,13.7508747375787,9.97200839748075,0.66480055983205,1.08467459762071,1.3296011196641,6.75297410776767,0.454863540937719,116.934828464047,9.91207170745291,277.881533976143,25.194931142446,124.616367210207,25.2857772053279,49.4751574527642,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"5","E02000005",10,NA,NA,66.0697455230914,6.2865090403338,12.4061196105702,12.2948539638387,15.076495132128,0.528511821974965,0.917941585535466,1.5855354659249,5.53546592489569,0.166898470097357,114.024047346609,9.02702808699928,274.648700403277,28.07089967,122.390085071198,26.3184732211538,45.201668984701,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"6","E02000007",22,NA,NA,56.5242662016856,5.41842263696568,18.9343768813968,8.36845273931367,15.5629139072848,0.511739915713426,0.963275135460566,1.41481035520771,6.02046959662854,0.270921131848284,114.383650729825,8.01923091741293,273.134138081961,24.5360200058333,122.993748067379,25.8885573801556,42.5346177001806,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"7","E02000008",22,NA,NA,61.3156175125245,5.48486178148311,16.871434839842,10.5089951733216,14.3045195261079,0.285212812637122,1.09697235629662,1.40412461605968,5.30934620447565,0.351031154014919,114.046007186933,8.68697508646608,271.210911854687,26.3604063557596,121.156629008504,24.1310040051944,44.3835015357613,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"8","E02000009",14,NA,NA,62.8891656288917,6.43040868819663,17.4907116318948,11.0031437553587,15.8045155758788,0.371534724206916,1.28608173763933,1.62903686767648,3.6867676478994,0.371534724206916,113.581061963006,10.4826389271154,268.634760673489,27.0800501523109,119.830395521171,23.8889103571429,41.926264647042,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"9","E02000010",7,NA,NA,61.0874848116646,5.09461426491994,24.2794759825328,9.1703056768559,12.0815138282387,0.49490538573508,0.727802037845706,1.07714701601164,6.25909752547307,0.49490538573508,114.716054785794,8.71967254910026,271.135746617247,29.3965869987212,123.482465007148,25.5758704390374,40.3202328966521,0,0,0,3,2,0,1,0,0,0,1,0,0,3,3,0,1,2
"10","E02000011",15,NA,1,70.8169506334644,6.86803308162532,26.0338007910823,10.2840704782452,9.16936353829558,0.683207479323984,0.683207479323984,1.58216468896081,5.50161812297735,0.395541172240201,115.289262499325,10.6970611212733,274.45467721404,23.5199703632911,124.588760745647,25.6701246618182,38.7989931679252,0,1,0,3,2,0,1,0,0,0,1,0,0,2,3,1,1,2
"11","E02000012",14,NA,1,73.2044198895028,7.40740740740741,24.7304266291608,12.4941397093296,8.13408345053915,0.867323019221753,0.445382090951711,1.19549929676512,5.18049695264885,0.304735114861697,112.75057735726,9.56141428693804,262.405641777184,24.3322167613636,118.180846241661,21.2154693869516,39.2405063291139,0,1,0,3,2,0,1,0,0,0,1,0,0,2,3,1,1,2
