"AtcoCode","OperatorRef","NationalCoachCode","Name","NameLang","LongName","LongNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"01000053218","","900041065","Bristol Bus Stn","","Bristol Bus Stn","","U","358916","173506","2014-10-21T13:54:02","2014-07-14T15:18:18",0,"new"
"0100BRP90233","","900041086C","Triangle West","","Triangle West","","U","357845","173231","2014-10-21T13:53:59","2014-07-14T15:18:20",0,"new"
"0100BRP90237","","900041086A","Queen's Road","","Queen's Road","","U","357955","173234","2014-10-21T13:53:59","2014-07-14T15:18:20",0,"new"
"0180BAA01319","","900087025","Bus Station","","Bus Station","","U","375074","164376","2014-10-21T13:55:26","2014-07-14T15:18:18",0,"new"
"0180BAC30834","","900087345","Victoria Hall B","","Victoria Hall B","","U","368868","154812","2014-10-21T13:55:30","2014-07-14T15:18:18",0,"new"
"0190NSC30194","","900041255A","Summer Lane","","Summer Lane","","U","336160","162594","2014-10-21T13:55:54","2014-07-14T15:18:19",0,"new"
"0190NSC30195","","900041255C","Summer Lane","","Summer Lane","","U","336140","162573","2014-10-21T13:55:54","2014-07-14T15:18:17",0,"new"
"0190NSC30652","","900041221C","Stockway North","","Stockway North","","U","347484","170883","2014-10-21T13:56:00","2014-07-14T15:18:18",0,"new"
"0190NSC30653","","900041221A","Link Road","","Link Road","","U","347547","170846","2014-10-21T13:56:00","2014-07-14T15:18:18",0,"new"
"0190NSC30784","","900041240C","Triangle","","Triangle","","U","340886","171051","2014-10-21T13:55:59","2014-07-14T15:18:19",0,"new"
"0190NSC30785","","900041240A","Triangle","","Triangle","","U","340877","171033","2014-10-21T13:55:59","2014-07-14T15:18:18",0,"new"
"0190NSY28569","","900041245","Locking Road Car Park","","Locking Road Car Park","","U","332453","161207","2014-10-21T13:56:01","2014-07-14T15:18:19",0,"new"
"0190NSZ01245","","900041185","Airport Terminal","","Airport Terminal","","U","350590","165532","2014-10-21T13:56:02","2014-10-13T15:13:20",4,"new"
"020035037","","900052444","Bus Station","","Bus Station","","U","504696","249864","2005-02-28T00:00:00","2008-12-23T00:00:00",4,"rev"
"02900033","","900051114A","Luton Station Interchange","","Luton Station Interchange","","U","509208","221590","2013-05-29T10:37:00","2013-06-05T14:38:00",3,"rev"
"02900033","","900051114D","Luton Station Interchange","","Luton Station Interchange","","U","509208","221590","2013-05-29T10:37:00","2013-06-05T14:38:00",3,"rev"
"02900039","","900051114C","Luton Station Interchange","","Luton Station Interchange","","U","509188","221564","2013-05-29T10:58:00","2013-06-05T14:47:00",5,"rev"
"02901210","","900051224A","Airport Bus Station","","Airport Bus Station","","U","511888","221342","2003-07-04T00:00:00","2010-03-15T10:12:00",4,"rev"
"02903036","","900051110A","Simpson Close","","Simpson Close","","U","505712","222708","2002-10-10T00:00:00","2012-01-25T11:05:00",3,"rev"
"02903037","","900051110C","Halfway Avenue","","Halfway Avenue","","U","505642","222698","2002-10-10T00:00:00","2012-01-25T11:05:00",3,"rev"
"030051210001","","900062153C","Charnham Lane","","Charnham Lane","","U","433840","168938","2005-07-20T00:00:00","2011-12-09T15:01:00",2,"rev"
"030051210002","","900062153A","Charnham Lane","","Charnham Lane","","U","433854","168951","2005-07-20T00:00:00","2011-12-09T15:01:00",2,"rev"
"030054160002","","900062183","Bus Station","","Bus Station","","U","447162","166878","2005-07-20T00:00:00","2005-07-20T00:00:00",0,"new"
"030055200003","","900061206","Calcot Sainsbury's","","Calcot Sainsbury's","","U","465358","171847","2005-07-20T00:00:00","2014-01-07T11:18:00",6,"rev"
"03700325","","900056056A","Wellington St Bus Station","","Wellington St Bus Station","","U","497757","180002","2003-08-28T00:00:00","2012-03-05T10:24:49",9,"rev"
"03700325","","900056056D","Wellington St Bus Station","","Wellington St Bus Station","","U","497757","180002","2003-08-28T00:00:00","2012-03-05T10:24:49",9,"rev"
"0380F968G059","","900061156","Bracknell Bus Station","","Bracknell Bus Station","","U","486968","169030","2004-11-01T00:00:00","2008-05-27T09:44:00",1,"rev"
"040000002968","","900056236","Bus Station","","Bus Station","","U","486192","193256","2005-12-23T00:00:00","2008-07-22T00:00:00",3,"rev"
"049000000804","","900050124","Milton Keynes Coachway","","Milton Keynes Coachway","","U","489320","240495","2010-11-16T17:04:00","2013-07-09T11:30:00",5,"rev"
"049002399361","","900052494A","War Memorial","","War Memorial","","U","491648","253586","2004-11-23T00:00:00","2009-03-13T12:00:00",1,"rev"
"049002399861","","900052494C","War Memorial","","War Memorial","","U","491665","253576","2004-11-23T00:00:00","2009-03-13T12:00:00",2,"rev"
"0500CCITY084","","900052056","Madingley Rd Park-and-Ride","","Madingley Rd Park-and-Ride","","U","542468","259444","2003-11-01T00:00:00","2010-12-13T15:49:39",4,"rev"
"0500CCITY248","","900052055","Trumpington Park-and-Ride","","Trumpington Park-and-Ride","","U","544271","254256","2003-11-01T00:00:00","2009-01-12T00:00:00",4,"rev"
"0500CCITY476","","900052074A","Parkside","","Parkside","","U","545569","258272","2007-03-20T00:00:00","2008-04-02T00:00:00",1,"rev"
"0500FWISH002","","900036134","Horse Fair Bus Station","","Horse Fair Bus Station","","U","546260","309812","2003-11-01T00:00:00","2009-02-09T00:00:00",3,"rev"
"0500HHUNT027","","900052224","Bus Station","","Bus Station","","U","523834","271637","2003-11-01T00:00:00","2009-04-01T00:00:00",5,"rev"
"0500HSTNS060","","900052244A","Market Square","","Market Square","","U","518174","260222","2003-11-01T00:00:00","2008-04-04T00:00:00",2,"rev"
"0500HSTNS062","","900052244C","Market Square","","Market Square","","U","518179","260210","2003-11-01T00:00:00","2008-04-04T00:00:00",2,"rev"
"0500SHARS006","","900052014A","Orchard Close","","Orchard Close","","U","542503","250885","2003-11-01T00:00:00","2007-03-13T00:00:00",1,"rev"
"0500SHARS016","","900052014C","Station Road","","Station Road","","U","542505","250861","2003-11-01T00:00:00","2007-03-13T00:00:00",1,"rev"
"0590PET621","","900036124A","Park Gates","","Park Gates","","U","528366","304344","2002-12-09T00:00:00","2007-03-07T00:00:00",1,"rev"
