"Var1","Freq"
"E02000001",12
"E02000011",1
"E02000012",1
"E02000013",1
"E02000014",1
"E02000016",1
"E02000024",1
"E02000031",1
"E02000035",1
"E02000040",1
"E02000041",1
"E02000043",1
"E02000046",1
"E02000047",1
"E02000053",1
"E02000055",1
"E02000056",1
"E02000060",1
"E02000061",1
"E02000093",1
"E02000095",1
"E02000099",1
"E02000100",3
"E02000104",1
"E02000105",1
"E02000106",1
"E02000108",1
"E02000110",1
"E02000112",1
"E02000114",1
"E02000115",1
"E02000118",1
"E02000119",1
"E02000121",1
"E02000123",1
"E02000124",1
"E02000125",1
"E02000126",1
"E02000132",1
"E02000139",1
"E02000141",2
"E02000167",1
"E02000168",2
"E02000175",2
"E02000176",1
"E02000177",1
"E02000182",1
"E02000186",2
"E02000187",1
"E02000188",1
"E02000191",3
"E02000193",3
"E02000207",2
"E02000209",1
"E02000212",1
"E02000213",2
"E02000215",3
"E02000216",2
"E02000217",4
"E02000219",2
"E02000220",1
"E02000225",1
"E02000227",2
"E02000229",1
"E02000241",1
"E02000243",1
"E02000244",1
"E02000248",2
"E02000252",1
"E02000257",3
"E02000264",1
"E02000269",2
"E02000270",1
"E02000287",1
"E02000296",2
"E02000308",1
"E02000316",1
"E02000372",3
"E02000375",1
"E02000376",1
"E02000380",1
"E02000382",1
"E02000383",1
"E02000384",2
"E02000385",2
"E02000388",1
"E02000392",1
"E02000395",1
"E02000400",1
"E02000403",1
"E02000411",1
"E02000415",1
"E02000420",1
"E02000426",1
"E02000427",1
"E02000433",1
"E02000434",1
"E02000445",1
"E02000448",1
"E02000451",1
"E02000455",1
"E02000456",1
"E02000459",1
"E02000461",1
"E02000482",1
"E02000485",1
"E02000486",1
"E02000489",1
"E02000494",1
"E02000495",2
"E02000498",1
"E02000500",3
"E02000501",1
"E02000502",1
"E02000503",1
"E02000504",1
"E02000506",1
"E02000508",1
"E02000524",4
"E02000526",2
"E02000531",1
"E02000537",1
"E02000540",1
"E02000542",1
"E02000543",1
"E02000557",1
"E02000558",1
"E02000559",1
"E02000564",1
"E02000566",1
"E02000568",1
"E02000573",1
"E02000575",1
"E02000576",1
"E02000577",1
"E02000579",1
"E02000581",1
"E02000582",1
"E02000583",1
"E02000586",1
"E02000588",1
"E02000589",1
"E02000590",1
"E02000592",1
"E02000593",1
"E02000594",1
"E02000619",1
"E02000621",1
"E02000622",1
"E02000625",1
"E02000628",1
"E02000629",1
"E02000630",1
"E02000664",2
"E02000689",1
"E02000691",2
"E02000693",1
"E02000694",1
"E02000697",2
"E02000703",1
"E02000710",4
"E02000711",1
"E02000725",1
"E02000726",5
"E02000731",1
"E02000734",1
"E02000735",1
"E02000740",2
"E02000746",3
"E02000747",5
"E02000748",2
"E02000749",2
"E02000750",4
"E02000751",1
"E02000756",2
"E02000757",1
"E02000763",2
"E02000764",1
