metrics,25%,50%,75%,count,max,mean,min,std
Bus_stops_all,24.0,35.0,48.0,7201.0,189.0,38.47993334259131,0.0,20.605249298715695
Bus_stops_birmingham,23.0,31.0,40.5,135.0,127.0,33.577777777777776,9.0,16.42462051932951
Bus_stops_blackpool,30.0,45.0,54.0,19.0,70.0,42.421052631578945,17.0,15.858106197265254
Bus_stops_liverpool,19.75,26.0,35.25,72.0,82.0,29.694444444444443,10.0,15.006701684969249
Bus_stops_london,13.0,19.0,26.0,978.0,168.0,20.968302658486706,0.0,12.708849638842013
Bus_stops_rural,30.0,44.0,60.0,1326.0,184.0,47.80618401206637,0.0,24.810758306969756
Bus_stops_urban,23.0,33.0,46.0,5875.0,189.0,36.374978723404254,0.0,18.907643037908013
HH_owning_cars_perc_all,66.484375,78.1730769230769,86.8431771894094,7201.0,97.0784641068447,74.96085692442593,17.510216912920498,14.805854644672678
HH_owning_cars_perc_birmingham,55.57827156062619,61.7367290579932,73.05643481441845,135.0,92.4610051993068,63.35133914697162,33.3545918367347,11.771006631036405
HH_owning_cars_perc_blackpool,51.435261418444696,68.4897959183673,74.1751407359493,19.0,78.7257617728532,62.486502435257705,36.1324659964518,14.73622116518276
HH_owning_cars_perc_liverpool,44.99516754094347,54.428300458342555,66.10480350903919,72.0,90.79086115992969,56.42181997520088,26.8041237113402,16.59577490575518
HH_owning_cars_perc_london,44.93504629787815,61.07508904625965,74.04549764185347,978.0,92.2705314009662,59.45800401381289,17.510216912920498,17.14997925262532
HH_owning_cars_perc_rural,85.74720450923397,89.56902437421604,91.87687108803686,1326.0,96.24773960216999,87.85105670074799,50.252780586450996,5.885321634606113
HH_owning_cars_perc_urban,63.42349777818675,74.9219858156028,83.44728905238816,5875.0,97.0784641068447,72.05151140895323,17.510216912920498,14.659857683801434
Train_stations_all,0.0,0.0,1.0,7201.0,12.0,0.3200944313289821,0.0,0.6609318270217773
Train_stations_birmingham,0.0,0.0,0.0,135.0,2.0,0.22962962962962963,0.0,0.5174671485822084
