Table 1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of pupils by type of school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By local authority area and region in England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,State-funded nursery,,State-funded primary (1)(2),,State-funded secondary (1)(3),,Special,,,,Pupil referral units (5)(6),,Independent (7),,All schools,,Local authority alternative provision,,,,,,,,,,
,,,,,,,,,State-funded (4),Non-maintained,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"42,207",,"4,727,089",,"3,327,970",,"121,738","3,671","125,409",,"16,134",,"580,956",,"8,819,765",,"26,128",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,"3,043",,"224,864",,"156,868",,"7,479",355,"7,834",,858,,"10,475",,"403,936",,"1,134",,,,,,,,,,
E06000005,841,Darlington,213,,"9,252",,"6,577",,311,0,311,,30,,94,,"16,477",,52,,,,,,,,,,
E06000047,840,Durham,983,,"42,305",,"28,713",,"1,389",0,"1,389",,135,,"1,936",,"75,455",,109,,,,,,,,,,
E08000020,390,Gateshead,81,,"16,214",,"11,669",,641,0,641,,79,,"1,472",,"30,156",,134,,,,,,,,,,
E06000001,805,Hartlepool,0,,"9,539",,"5,556",,239,0,239,,22,,15,,"15,371",,57,,,,,,,,,,
E06000002,806,Middlesbrough,0,,"15,865",,"8,222",,529,0,529,,71,,55,,"24,742",,110,,,,,,,,,,
E08000021,391,Newcastle upon Tyne,428,,"22,980",,"16,409",,724,146,870,,144,,"4,062",,"44,893",,88,,,,,,,,,,
E08000022,392,North Tyneside,90,,"16,789",,"13,421",,568,161,729,,74,,48,,"31,151",,29,,,,,,,,,,
E06000048,929,Northumberland,0,,"22,446",,"22,000",,876,48,924,,12,,552,,"45,934",,332,,,,,,,,,,
E06000003,807,Redcar and Cleveland,0,,"13,326",,"8,257",,380,0,380,,73,,16,,"22,052",,53,,,,,,,,,,
E08000023,393,South Tyneside,330,,"12,923",,"8,538",,544,0,544,,59,,0,,"22,394",,41,,,,,,,,,,
E06000004,808,Stockton-on-Tees,0,,"19,557",,"11,604",,573,0,573,,59,,"1,896",,"33,689",,69,,,,,,,,,,
E08000024,394,Sunderland,918,,"23,668",,"15,902",,705,0,705,,100,,329,,"41,622",,60,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH WEST,"6,234",,"655,836",,"430,026",,"17,927",618,"18,545",,"3,121",,"46,829",,"1,160,491",,"3,118",,,,,,,,,,
E06000008,889,Blackburn with Darwen,293,,"15,658",,"11,083",,261,0,261,,167,,"1,871",,"29,333",,61,,,,,,,,,,
E06000009,890,Blackpool,0,,"11,958",,"6,813",,463,0,463,,201,,0,,"19,435",,110,,,,,,,,,,
E08000001,350,Bolton,372,,"30,487",,"19,427",,773,52,825,,151,,"3,165",,"54,427",,154,,,,,,,,,,
E08000002,351,Bury,96,,"17,970",,"11,177",,372,0,372,,89,,"1,686",,"31,390",,130,,,,,,,,,,
E06000049,895,Cheshire East,63,,"30,885",,"22,791",,411,7,418,,55,,"2,815",,"57,027",,184,,,,,,,,,,
E06000050,896,Cheshire West and Chester,61,,"28,908",,"20,338",,986,0,986,,41,,"3,920",,"54,254",,51,,,,,,,,,,
E10000006,909,Cumbria,398,,"39,326",,"29,609",,510,0,510,,129,,"2,120",,"72,011",,196,,,,,,,,,,
E06000006,876,Halton,260,,"10,504",,"8,329",,363,0,363,,48,,51,,"19,555",,60,,,,,,,,,,
E08000011,340,Knowsley,0,,"14,477",,"5,408",,522,0,522,,95,,40,,"20,542",,61,,,,,,,,,,
E10000017,888,Lancashire,"2,354",,"101,438",,"67,962",,"2,966",0,"2,966",,562,,"7,372",,"182,635",,564,,,,,,,,,,
E08000012,341,Liverpool,505,,"41,052",,"30,006",,"1,483",107,"1,590",,164,,"1,088",,"74,405",,249,,,,,,,,,,
E08000003,352,Manchester,182,,"54,250",,"31,150",,"1,719",0,"1,719",,392,,"5,937",,"93,630",,123,,,,,,,,,,
E08000004,353,Oldham,0,,"26,719",,"16,544",,849,0,849,,97,,"1,314",,"45,523",,88,,,,,,,,,,
E08000005,354,Rochdale,165,,"22,723",,"12,883",,585,0,585,,143,,407,,"36,906",,65,,,,,,,,,,
E08000006,355,Salford,0,,"24,062",,"11,563",,708,0,708,,136,,"4,613",,"41,082",,175,,,,,,,,,,
E08000014,343,Sefton,340,,"23,012",,"15,939",,620,46,666,,92,,"2,200",,"42,249",,86,,,,,,,,,,
E08000013,342,St. Helens,70,,"15,884",,"10,223",,369,52,421,,121,,392,,"27,111",,63,,,,,,,,,,
E08000007,356,Stockport,405,,"26,273",,"14,706",,611,142,753,,83,,"4,315",,"46,535",,144,,,,,,,,,,
E08000008,357,Tameside,0,,"22,818",,"13,414",,503,0,503,,144,,140,,"37,019",,109,,,,,,,,,,
E08000009,358,Trafford,0,,"23,033",,"18,075",,657,107,764,,39,,"1,844",,"43,755",,69,,,,,,,,,,
E06000007,877,Warrington,122,,"18,940",,"12,899",,344,30,374,,6,,44,,"32,385",,103,,,,,,,,,,
E08000010,359,Wigan,236,,"28,048",,"18,303",,735,0,735,,114,,97,,"47,533",,151,,,,,,,,,,
E08000015,344,Wirral,312,,"27,411",,"21,384",,"1,117",75,"1,192",,52,,"1,398",,"51,749",,122,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,"2,864",,"491,779",,"329,559",,"10,152",262,"10,414",,"1,991",,"30,454",,"867,023",,"1,652",,,,,,,,,,
E08000016,370,Barnsley,0,,"21,630",,"12,216",,415,0,415,,69,,121,,"34,451",,150,,,,,,,,,,
E08000032,380,Bradford,980,,"59,227",,"39,129",,"1,238",0,"1,238",,217,,"3,402",,"104,193",,150,,,,,,,,,,
E08000033,381,Calderdale,0,,"20,192",,"15,969",,334,68,402,,63,,"1,229",,"37,855",,80,,,,,,,,,,
E08000017,371,Doncaster,0,,"29,081",,"17,600",,560,28,588,,79,,846,,"48,194",,128,,,,,,,,,,
