,Bus_stops,Train_stations,metro_stations,HH_owning_cars_perc,work_from_home_perc,underground_metro_perc,train_perc,bus_perc,taxi_perc,motorcycle_perc,bicycle_perc,on_foot_perc,other_perc,avg_time_from_origin_car_UNWEIGHTED,avg_time_car,avg_time_from_origin_bus_UNWEIGHTED,avg_time_bus,avg_time_from_origin_rail_UNWEIGHTED,avg_time_rail,car_perc,public_transport,people_power
count,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,6601,7201,7201,7201
mean,38.47993334,0.320094431,0.124843772,74.96085692,10.38132703,3.366971861,4.705109024,7.309412645,0.503806032,0.775569314,2.681102137,9.768107581,0.498830633,130.5910216,12.01784639,287.7373166,28.79073479,157.36111,67.69595723,60.00976374,15.38149353,12.44920972
std,20.6052493,0.660931827,0.56798443,14.80585464,4.826474382,8.826857995,6.114003099,6.356014357,0.498272627,0.402502014,2.609433829,6.457068673,0.308715818,31.00792151,3.510609376,62.51660398,9.827287965,41.16863616,54.48350823,16.49191802,14.95313821,7.635432707
min,0,0,0,17.51021691,2.826552463,0,0.052521008,0.173671414,0,0.024248303,0.080677693,1.495132128,0.03417635,93.75627336,4.963508317,186.3938621,9.321268915,101.7932894,0.55493826,3.051201672,0.744047619,2.019363762
25%,24,0,0,66.484375,7.034728406,0.067980965,1.024377593,2.491103203,0.185322461,0.505050505,1.144674086,5.330564209,0.330231162,107.6247372,9.595475365,241.6437439,22.91959072,127.9072084,25.10291401,54.50845335,5.615874204,7.076739325
50%,35,0,0,78.17307692,8.896121508,0.15497869,2.332222751,5.3783285,0.348712446,0.696969697,1.87994723,7.91011236,0.437788018,123.4433939,11.20522649,273.252282,27.00410645,147.5940857,51.1592,65.10757717,9.99275887,10.28142589
75%,48,1,0,86.84317719,12.36738406,0.53876085,5.741775295,10.13041013,0.643086817,0.959581274,3.293135436,12.09876543,0.579990333,143.1971778,13.59252435,321.4652357,32.12206086,175.6650687,94.952232,71.10474827,18.146184,15.51043429
max,189,12,12,97.07846411,37.59172782,55.72609209,46.02851324,45.51775515,5.871517384,4.012671595,33.73916632,51.32414095,5.922061982,451.0152452,64.23360658,716.4591599,115.1763717,437.669204,346.8181333,84.16775885,74.62533361,53.8021978
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
