origin_msoacode,avg_time_from_origin_bus_UNWEIGHTED,"Bus, minibus or coach",cumulative_time_bus,avg_time_bus
E02000001,304.5505221,252,4731.529671,18.77591139
E02000002,349.84883,330,9989.492729,30.27119009
E02000003,349.5579868,442,13493.19469,30.52758979
E02000004,353.1959133,278,7004.190858,25.19493114
E02000005,350.0066529,500,14035.44984,28.07089967
E02000007,348.4969731,480,11777.2896,24.53602001
E02000008,346.3613172,599,15789.88341,26.36040636
E02000009,343.7393666,476,12890.10387,27.08005015
E02000010,346.2971178,391,11494.06552,29.396587
E02000011,349.860725,237,5574.232976,23.51997036
E02000012,337.3095798,308,7494.322763,24.33221676
E02000013,341.0344782,315,10168.46088,32.28082818
E02000014,345.753429,420,13516.23609,32.18151451
E02000015,343.5065391,361,10982.53144,30.42252477
E02000016,331.2801627,346,9894.000275,28.59537652
E02000017,333.8416483,328,9069.360022,27.65048787
E02000018,333.4217014,340,8882.93675,26.12628456
E02000019,339.8725928,311,10329.64272,33.21428529
E02000020,338.8517088,378,12629.01304,33.41008739
E02000021,340.9954876,394,13988.64828,35.50418345
E02000022,332.4236762,370,12648.34615,34.18471933
E02000023,340.7900058,324,11771.55745,36.33196743
E02000024,316.3327007,263,7222.24396,27.46100365
E02000025,319.7568399,334,8490.559518,25.42083688
E02000026,326.1314855,169,5765.286315,34.11412021
E02000027,316.5860246,449,11021.78182,24.54739827
E02000028,321.871875,200,4843.665591,24.21832796
E02000029,322.2352794,321,7800.047789,24.2992143
E02000030,318.7350618,216,6006.425892,27.80752728
E02000031,317.5425184,266,8775.768461,32.99161076
E02000032,322.7287423,169,5117.604257,30.28168199
E02000033,317.0936216,366,11651.20939,31.83390543
E02000034,319.0511941,381,12409.1315,32.56989894
E02000035,317.0554901,265,8410.152548,31.73642471
E02000036,312.7712825,457,13284.12497,29.06810715
E02000037,313.2470684,325,11090.16892,34.12359667
E02000038,313.9609996,660,17989.84539,27.2573415
E02000039,310.5137068,217,6950.333438,32.02918635
E02000040,310.8268655,284,8334.04056,29.34521324
E02000041,313.9204263,457,13515.64239,29.57470982
E02000042,312.6832325,613,18153.12169,29.61357536
E02000043,316.0820264,186,6110.380776,32.85150955
E02000044,311.2512285,478,15919.35921,33.30409876
E02000045,313.5669003,1014,31910.20964,31.46963475
E02000046,307.1043596,324,9115.873885,28.13541322
E02000047,309.4704431,748,24089.24063,32.20486715
E02000048,306.8398297,306,9941.328472,32.48800154
E02000049,307.1678238,602,19353.51369,32.14869384
E02000050,311.4871566,554,15883.61156,28.670779
E02000051,306.1882285,398,12914.44233,32.44834756
E02000052,307.4802617,371,9382.50951,25.28978305
E02000053,306.8742083,451,14223.08449,31.53677271
E02000054,301.4563214,339,9686.229842,28.57294939
E02000055,301.0014061,598,16652.75864,27.84742247
E02000056,307.8473708,183,5113.641439,27.94339584
E02000057,297.9047866,276,8151.758968,29.53535858
E02000058,304.6801991,514,14640.23057,28.48293886
