origin_msoacode,avg_time_from_origin_car_UNWEIGHTED,car,cumulative_time_car,avg_time_car
E02000001,107.13822099298704,113.0,1970.5151252000003,17.43818694867257
E02000002,113.7498676527451,982.0,9947.762827790002,10.13010471261711
E02000003,113.5869278472575,1616.0,15323.978924699999,9.482660225680693
E02000004,116.93482846404665,1221.0,12102.639554800004,9.91207170745291
E02000005,114.0240473466089,1383.0,12484.379844320003,9.027028086999279
E02000007,114.38365072982492,1206.0,9671.1924864,8.019230917412935
E02000008,114.04600718693271,1695.0,14724.422771560001,8.686975086466077
E02000009,113.58106196300595,1248.0,13082.333381040009,10.482638927115392
E02000010,114.71605478579382,1167.0,10175.857864800004,8.71967254910026
E02000011,115.28926249932522,911.0,9745.022681480006,10.697061121273332
E02000012,112.75057735726006,1388.0,13271.243030269998,9.561414286938039
E02000013,114.08457035890831,1212.0,10673.543827420002,8.806554313052807
E02000014,114.8055826864577,1253.0,12247.984986459998,9.774928161580206
E02000015,115.40106884911813,933.0,9234.222307900005,9.89734438145767
E02000016,111.94504643899207,553.0,5603.558423709999,10.133017041066907
E02000017,112.17455306964013,917.0,10138.931877539997,11.05663236372955
E02000018,113.4618228566329,1156.0,11029.387730369994,9.540992846340824
E02000019,114.34848337219285,1184.0,11027.41300860001,9.313693419425684
E02000020,112.91086381063062,1017.0,9664.839431550005,9.503283610176995
E02000021,114.74588400136724,1151.0,10327.980193699997,8.97304969044309
E02000022,112.15324098322192,608.0,6495.1297471399985,10.682779189374997
E02000023,113.53813797783063,708.0,6357.157878350001,8.979036551341808
E02000024,104.24624287342961,1752.0,15956.349884450005,9.107505641809363
E02000025,104.77772151990997,1541.0,13190.11949672,8.559454572822842
E02000026,105.66052893363299,1292.0,11832.19757358,9.15804765756966
E02000027,104.45971692869587,1674.0,13743.199502459998,8.209796596451612
E02000028,104.61121698734893,1238.0,10854.371796000007,8.767667040387728
E02000029,105.37705027930033,1607.0,15032.930876560007,9.354655181431243
E02000030,104.38614635589529,1880.0,17749.861752600005,9.441415825851067
E02000031,104.71141983893244,1117.0,8903.1221006,7.970565891316025
E02000032,106.12056776675422,1579.0,13830.857049800003,8.75925082317923
E02000033,105.47201258095575,1478.0,11327.638680899998,7.664166901826792
E02000034,105.52764880892906,1504.0,12499.1169151,8.310583055252659
E02000035,104.83637953388681,1111.0,9605.389574290002,8.64571518837984
E02000036,103.19817687338453,2006.0,16505.98092236,8.22830554454636
E02000037,102.67318432033623,1896.0,15780.602164839991,8.323102407616028
E02000038,105.54112967935839,1620.0,12967.299371120003,8.004505784641978
E02000039,103.60887758398015,1263.0,11646.619406219997,9.221393037387172
E02000040,105.20987471702544,1111.0,10512.121211200005,9.461855275607565
E02000041,103.38040128582853,1340.0,11391.603598399995,8.501196715223877
E02000042,104.91082150670972,1325.0,11904.449383840007,8.984490101011327
E02000043,105.23352553054733,1073.0,8967.083496270003,8.357020965768875
E02000044,103.65767238564486,1156.0,9525.841093290006,8.240346966513846
