,Area.of.residence,variable,value
0,E02000798,Area.of.workplace,E02000001
1,E02001213,Area.of.workplace,E02000001
2,E02006841,Area.of.workplace,E02000001
3,E02001139,Area.of.workplace,E02000001
4,E02001478,Area.of.workplace,E02000001
5,E02000957,Area.of.workplace,E02000001
6,E02006932,Area.of.workplace,E02000001
7,E02000050,Area.of.workplace,E02000001
8,E02003740,Area.of.workplace,E02000001
9,E02003262,Area.of.workplace,E02000001
10,E02003617,Area.of.workplace,E02000001
11,E02000175,Area.of.workplace,E02000001
12,E02006502,Area.of.workplace,E02000001
13,E02000501,Area.of.workplace,E02000001
14,E02005400,Area.of.workplace,E02000001
15,E02006114,Area.of.workplace,E02000001
16,E02001276,Area.of.workplace,E02000001
17,E02006310,Area.of.workplace,E02000001
18,E02000418,Area.of.workplace,E02000001
19,E02003407,Area.of.workplace,E02000001
20,E02003070,Area.of.workplace,E02000001
21,E02000398,Area.of.workplace,E02000001
22,E02001396,Area.of.workplace,E02000001
23,E02000326,Area.of.workplace,E02000001
24,E02000420,Area.of.workplace,E02000001
25,E02006606,Area.of.workplace,E02000001
26,E02006852,Area.of.workplace,E02000001
27,W02000390,Area.of.workplace,E02000001
28,E02004481,Area.of.workplace,E02000001
29,E02003605,Area.of.workplace,E02000001
30,E02003367,Area.of.workplace,E02000001
31,E02002085,Area.of.workplace,E02000001
32,E02000189,Area.of.workplace,E02000001
33,E02003626,Area.of.workplace,E02000001
34,E02006574,Area.of.workplace,E02000001
35,E02005081,Area.of.workplace,E02000001
36,E02006716,Area.of.workplace,E02000001
37,E02006344,Area.of.workplace,E02000001
38,E02003719,Area.of.workplace,E02000001
39,E02006436,Area.of.workplace,E02000001
40,E02002641,Area.of.workplace,E02000001
41,E02005050,Area.of.workplace,E02000001
42,E02003481,Area.of.workplace,E02000001
43,E02000569,Area.of.workplace,E02000001
44,E02003699,Area.of.workplace,E02000001
45,E02003466,Area.of.workplace,E02000001
46,E02003107,Area.of.workplace,E02000001
47,E02006282,Area.of.workplace,E02000001
48,E02003326,Area.of.workplace,E02000001
49,E02006758,Area.of.workplace,E02000001
50,E02004499,Area.of.workplace,E02000001
51,W02000146,Area.of.workplace,E02000001
52,E02006131,Area.of.workplace,E02000001
53,E02006778,Area.of.workplace,E02000001
54,E02004377,Area.of.workplace,E02000001
55,E02003478,Area.of.workplace,E02000001
56,E02006805,Area.of.workplace,E02000001
57,E02003489,Area.of.workplace,E02000001
58,E02000661,Area.of.workplace,E02000001
59,E02003082,Area.of.workplace,E02000001
60,E02001015,Area.of.workplace,E02000001
61,E02000898,Area.of.workplace,E02000001
62,E02005586,Area.of.workplace,E02000001
63,E02003807,Area.of.workplace,E02000001
64,E02006722,Area.of.workplace,E02000001
65,E02005378,Area.of.workplace,E02000001
66,E02003118,Area.of.workplace,E02000001
67,E02005608,Area.of.workplace,E02000001
68,E02003726,Area.of.workplace,E02000001
69,E02005257,Area.of.workplace,E02000001
70,E02004370,Area.of.workplace,E02000001
71,E02006176,Area.of.workplace,E02000001
72,E02005234,Area.of.workplace,E02000001
73,E02000885,Area.of.workplace,E02000001
74,W02000168,Area.of.workplace,E02000001
75,E02003959,Area.of.workplace,E02000001
76,E02003183,Area.of.workplace,E02000001
77,E02006170,Area.of.workplace,E02000001
78,E02005623,Area.of.workplace,E02000001
79,E02003646,Area.of.workplace,E02000001
80,E02002944,Area.of.workplace,E02000001
81,E02001984,Area.of.workplace,E02000001
82,E02005895,Area.of.workplace,E02000001
83,E02006751,Area.of.workplace,E02000001
84,E02003100,Area.of.workplace,E02000001
85,E02005670,Area.of.workplace,E02000001
86,E02005690,Area.of.workplace,E02000001
87,E02000594,Area.of.workplace,E02000001
88,E02002490,Area.of.workplace,E02000001
89,E02003192,Area.of.workplace,E02000001
90,E02004410,Area.of.workplace,E02000001
91,E02006554,Area.of.workplace,E02000001
92,E02000226,Area.of.workplace,E02000001
93,E02000080,Area.of.workplace,E02000001
94,E02000103,Area.of.workplace,E02000001
95,E02003770,Area.of.workplace,E02000001
96,E02005558,Area.of.workplace,E02000001
97,E02006489,Area.of.workplace,E02000001
98,E02004597,Area.of.workplace,E02000001
99,E02001730,Area.of.workplace,E02000001
100,E02005120,Area.of.workplace,E02000001
101,E02000229,Area.of.workplace,E02000001
102,E02003456,Area.of.workplace,E02000001
103,E02001958,Area.of.workplace,E02000001
104,E02003275,Area.of.workplace,E02000001
105,E02003472,Area.of.workplace,E02000001
106,E02005874,Area.of.workplace,E02000001
107,E02003660,Area.of.workplace,E02000001
108,E02000841,Area.of.workplace,E02000001
109,E02005629,Area.of.workplace,E02000001
110,E02004675,Area.of.workplace,E02000001
111,E02001191,Area.of.workplace,E02000001
112,E02006253,Area.of.workplace,E02000001
113,E02003578,Area.of.workplace,E02000001
114,E02006084,Area.of.workplace,E02000001
115,E02005453,Area.of.workplace,E02000001
116,E02006793,Area.of.workplace,E02000001
117,E02005570,Area.of.workplace,E02000001
118,E02006325,Area.of.workplace,E02000001
119,E02005132,Area.of.workplace,E02000001
120,E02006425,Area.of.workplace,E02000001
121,E02004376,Area.of.workplace,E02000001
122,E02000836,Area.of.workplace,E02000001
123,W02000355,Area.of.workplace,E02000001
124,E02000917,Area.of.workplace,E02000001
125,E02002952,Area.of.workplace,E02000001
126,W02000338,Area.of.workplace,E02000001
127,E02002806,Area.of.workplace,E02000001
128,E02006552,Area.of.workplace,E02000001
129,E02004687,Area.of.workplace,E02000001
130,E02004024,Area.of.workplace,E02000001
131,E02000944,Area.of.workplace,E02000001
132,E02001994,Area.of.workplace,E02000001
133,E02000523,Area.of.workplace,E02000001
134,E02000294,Area.of.workplace,E02000001
135,W02000377,Area.of.workplace,E02000001
136,E02005944,Area.of.workplace,E02000001
137,E02001932,Area.of.workplace,E02000001
138,E02000627,Area.of.workplace,E02000001
139,E02005416,Area.of.workplace,E02000001
140,E02006234,Area.of.workplace,E02000001
141,E02000364,Area.of.workplace,E02000001
142,E02000180,Area.of.workplace,E02000001
143,E02006804,Area.of.workplace,E02000001
144,E02000878,Area.of.workplace,E02000001
145,E02004220,Area.of.workplace,E02000001
146,E02003625,Area.of.workplace,E02000001
147,E02001262,Area.of.workplace,E02000001
148,E02004043,Area.of.workplace,E02000001
149,E02000145,Area.of.workplace,E02000001
150,W02000407,Area.of.workplace,E02000001
151,E02004572,Area.of.workplace,E02000001
152,E02005348,Area.of.workplace,E02000001
153,E02002483,Area.of.workplace,E02000001
154,E02002454,Area.of.workplace,E02000001
155,E02004176,Area.of.workplace,E02000001
156,E02001812,Area.of.workplace,E02000001
157,E02006072,Area.of.workplace,E02000001
158,E02005169,Area.of.workplace,E02000001
159,E02002175,Area.of.workplace,E02000001
160,E02001524,Area.of.workplace,E02000001
161,E02006894,Area.of.workplace,E02000001
162,E02000821,Area.of.workplace,E02000001
163,E02002185,Area.of.workplace,E02000001
164,E02000367,Area.of.workplace,E02000001
165,E02004206,Area.of.workplace,E02000001
166,E02001739,Area.of.workplace,E02000001
167,E02004909,Area.of.workplace,E02000001
168,E02005614,Area.of.workplace,E02000001
169,E02000146,Area.of.workplace,E02000001
170,E02005815,Area.of.workplace,E02000001
171,E02004044,Area.of.workplace,E02000001
172,E02002557,Area.of.workplace,E02000001
173,E02006530,Area.of.workplace,E02000001
174,E02005750,Area.of.workplace,E02000001
175,E02004194,Area.of.workplace,E02000001
176,E02002170,Area.of.workplace,E02000001
177,E02004406,Area.of.workplace,E02000001
178,E02000752,Area.of.workplace,E02000001
179,E02006605,Area.of.workplace,E02000001
180,E02005147,Area.of.workplace,E02000001
181,E02006783,Area.of.workplace,E02000001
182,E02001742,Area.of.workplace,E02000001
183,E02000616,Area.of.workplace,E02000001
184,E02002848,Area.of.workplace,E02000001
185,E02000390,Area.of.workplace,E02000001
186,E02003909,Area.of.workplace,E02000001
187,E02006726,Area.of.workplace,E02000001
188,E02004141,Area.of.workplace,E02000001
189,E02002485,Area.of.workplace,E02000001
190,E02000873,Area.of.workplace,E02000001
191,E02001325,Area.of.workplace,E02000001
192,E02000864,Area.of.workplace,E02000001
193,E02006299,Area.of.workplace,E02000001
194,E02003441,Area.of.workplace,E02000001
195,E02003517,Area.of.workplace,E02000001
196,E02002201,Area.of.workplace,E02000001
197,E02006368,Area.of.workplace,E02000001
